Metric,Training,Test
RMSE_0,0.15778,0.35039
RMSE,0.02267,0.07683
RMSE_Metrics,0.02267,0.07683
RMSE_caret,0.02267,0.07683
MSE_Metrics,5.1e-4,0.0059
MAE_Metrics,0.01436,0.04063
MAE_caret,0.01436,0.04063
MAPE_Metrics,0.09057,0.06536
RMSLE_Metrics,0.01375,0.04621
R2,0.93899,0.10694
R2_caret,0.95699,0.17403
R2_yardstick,0.95699,0.17403
RMSE_yardstick,0.02267,0.07683
Pearson_Cor,0.97826,0.41717
Pearson_P_Value,0,0
Spearman_Cor,0.9198,0.58021
Spearman_P_Value,0,0
SD_Error,0.02268,0.07665
