eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,5,3,0.8,0.8,0,0,464,0.08008822211199998
0.05,5,3,0.8,0.8,0,0,98,0.08047352883058675
0.1,5,3,0.8,0.8,0,0,48,0.08158460292729838
0.3,5,3,0.8,0.8,0,0,14,0.08664427578895013
0.01,7,3,0.8,0.8,0,0,496,0.07997030775226531
0.05,7,3,0.8,0.8,0,0,95,0.08067138813461938
0.1,7,3,0.8,0.8,0,0,65,0.08075023284499602
0.3,7,3,0.8,0.8,0,0,14,0.08830018856205743
0.01,1,5,0.8,0.8,0,0,667,0.08068417994560623
0.05,1,5,0.8,0.8,0,0,136,0.08058701519650298
0.1,1,5,0.8,0.8,0,0,82,0.08047839843851448
0.3,1,5,0.8,0.8,0,0,35,0.08100364825585175
0.01,3,5,0.8,0.8,0,0,483,0.07931026591708078
0.05,3,5,0.8,0.8,0,0,100,0.08014485523038416
0.1,3,5,0.8,0.8,0,0,60,0.08038085337288775
0.3,3,5,0.8,0.8,0,0,12,0.08053477187726214
0.01,5,5,0.8,0.8,0,0,501,0.07952019790840213
0.05,5,5,0.8,0.8,0,0,94,0.07937758274295235
0.1,5,5,0.8,0.8,0,0,49,0.08024674977088005
0.3,5,5,0.8,0.8,0,0,13,0.08206971747649
0.01,7,5,0.8,0.8,0,0,430,0.07941525813607567
0.05,7,5,0.8,0.8,0,0,97,0.07969626204939045
0.1,7,5,0.8,0.8,0,0,48,0.08115305242706114
0.3,7,5,0.8,0.8,0,0,10,0.0850569435115259
0.01,1,7,0.8,0.8,0,0,667,0.08066228045995366
0.05,1,7,0.8,0.8,0,0,136,0.08054786810217289
0.1,1,7,0.8,0.8,0,0,90,0.08039685005192072
0.3,1,7,0.8,0.8,0,0,25,0.08103800782666926
0.01,3,7,0.8,0.8,0,0,481,0.07908962060850862
0.05,3,7,0.8,0.8,0,0,100,0.0792937415078797
0.1,3,7,0.8,0.8,0,0,48,0.0796041108989116
0.3,3,7,0.8,0.8,0,0,11,0.080590241398676
0.01,5,7,0.8,0.8,0,0,466,0.07909766375045645
0.05,5,7,0.8,0.8,0,0,85,0.0798611275585808
0.1,5,7,0.8,0.8,0,0,59,0.07976489190465061
0.3,5,7,0.8,0.8,0,0,15,0.08260112230486084
0.01,7,7,0.8,0.8,0,0,430,0.0791234828367215
