Metric,Train,Test
RMSE,8.706830518814452e-4,0.0012780999599478816
Pearson,0.958893119836716,0.9218273552331033
Spearman,0.9383552045058051,0.9083139870659143
SD_Error,8.695915877351722e-4,0.0012569626110345302
R2,0.9159435071320228,0.8426839336857602
