metric,train-non-spatial,test-non-spatial,train-queen,test-queen,trian-knn,test-knn
rmse,0.059,0.08,0.052,0.077,0.052,0.076
pearson,0.779,0.345,0.831,0.413,0.81,0.438
spaerman,0.733,0.564,0.759,0.603,0.771,0.621
sd,0.059,0.08,0.052,0.078,0.052,0.076
r2,0.554,0.107,0.646,0.152,0.637,0.176
