Metric,Training,Test
RMSE_0,0.24568,0.33974
RMSE,0.03646,0.07694
RMSE_Metrics,0.03646,0.07694
RMSE_caret,0.03646,0.07694
MSE_Metrics,0.00133,0.00592
MAE_Metrics,0.0219,0.0409
MAE_caret,0.0219,0.0409
MAPE_Metrics,0.1424,0.06514
RMSLE_Metrics,0.02214,0.04626
R2,0.84223,0.10443
R2_caret,0.87432,0.17677
R2_yardstick,0.87432,0.17677
RMSE_yardstick,0.03646,0.07694
Pearson_Cor,0.93505,0.42044
Pearson_P_Value,0,0
Spearman_Cor,0.85189,0.57824
Spearman_P_Value,0,0
SD_Error,0.03647,0.07676
