eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,5,3,0.8,0.8,0,0,515,0.07900713635245735
0.05,5,3,0.8,0.8,0,0,92,0.07978401090400317
0.1,5,3,0.8,0.8,0,0,42,0.08095378484233658
0.3,5,3,0.8,0.8,0,0,10,0.08597660460729116
0.01,7,3,0.8,0.8,0,0,576,0.07883798131666436
0.05,7,3,0.8,0.8,0,0,99,0.08033903989056151
0.1,7,3,0.8,0.8,0,0,51,0.08044330616383101
0.3,7,3,0.8,0.8,0,0,12,0.08590174077478809
0.01,1,5,0.8,0.8,0,0,641,0.08072714760322408
0.05,1,5,0.8,0.8,0,0,180,0.08039329941551185
0.1,1,5,0.8,0.8,0,0,103,0.08040608532399272
0.3,1,5,0.8,0.8,0,0,33,0.08056123459290619
0.01,3,5,0.8,0.8,0,0,510,0.0792142553479111
0.05,3,5,0.8,0.8,0,0,106,0.07905770090868333
0.1,3,5,0.8,0.8,0,0,48,0.07931740590849815
0.3,3,5,0.8,0.8,0,0,13,0.08279170125183956
0.01,5,5,0.8,0.8,0,0,473,0.07873516553309538
0.05,5,5,0.8,0.8,0,0,106,0.07986748508713082
0.1,5,5,0.8,0.8,0,0,44,0.08028229078346008
0.3,5,5,0.8,0.8,0,0,13,0.08302026259716404
0.01,7,5,0.8,0.8,0,0,493,0.0787090384041218
0.05,7,5,0.8,0.8,0,0,94,0.0795709051422108
0.1,7,5,0.8,0.8,0,0,50,0.08108176240110444
0.3,7,5,0.8,0.8,0,0,14,0.08459358954440065
0.01,1,7,0.8,0.8,0,0,674,0.08066636048264693
0.05,1,7,0.8,0.8,0,0,180,0.08036705619575853
0.1,1,7,0.8,0.8,0,0,137,0.08024178928190559
0.3,1,7,0.8,0.8,0,0,33,0.08035612539435685
0.01,3,7,0.8,0.8,0,0,536,0.0788448434523055
0.05,3,7,0.8,0.8,0,0,103,0.07915799102312451
0.1,3,7,0.8,0.8,0,0,62,0.07969212724595523
0.3,3,7,0.8,0.8,0,0,13,0.08118653232285597
0.01,5,7,0.8,0.8,0,0,516,0.07855956844418178
0.05,5,7,0.8,0.8,0,0,104,0.07937299857134045
0.1,5,7,0.8,0.8,0,0,46,0.08030436899028995
0.3,5,7,0.8,0.8,0,0,11,0.08067861446127302
0.01,7,7,0.8,0.8,0,0,513,0.07817840873625596
0.05,7,7,0.8,0.8,0,0,103,0.07919054330650858
0.1,7,7,0.8,0.8,0,0,62,0.07943326142814705
0.3,7,7,0.8,0.8,0,0,11,0.08359536803144096
0.01,1,1,1,0.8,0,0,603,0.08133187294201118
0.05,1,1,1,0.8,0,0,224,0.08092404204378653
0.1,1,1,1,0.8,0,0,129,0.0808459172839963
0.3,1,1,1,0.8,0,0,37,0.08114246101744516
0.01,3,1,1,0.8,0,0,465,0.0816582743604482
0.05,3,1,1,0.8,0,0,112,0.08112926636199393
0.1,3,1,1,0.8,0,0,46,0.08186243706717174
0.3,3,1,1,0.8,0,0,19,0.08214420715938817
0.01,5,1,1,0.8,0,0,494,0.08099820953227366
0.05,5,1,1,0.8,0,0,137,0.08047167249018478
0.1,5,1,1,0.8,0,0,59,0.0822625507002461
0.3,5,1,1,0.8,0,0,14,0.0852627021398536
0.01,7,1,1,0.8,0,0,545,0.08087520278556877
0.05,7,1,1,0.8,0,0,144,0.08151608506827895
0.1,7,1,1,0.8,0,0,58,0.08211249910243028
0.3,7,1,1,0.8,0,0,21,0.08639447641524627
0.01,1,3,1,0.8,0,0,1109,0.08046005105009
0.05,1,3,1,0.8,0,0,236,0.08043746722999028
0.1,1,3,1,0.8,0,0,127,0.08033168816372747
0.3,1,3,1,0.8,0,0,64,0.08050146273782305
0.01,3,3,1,0.8,0,0,534,0.0793828714731434
0.05,3,3,1,0.8,0,0,105,0.07973953275246627
0.1,3,3,1,0.8,0,0,66,0.07855881582292654
0.3,3,3,1,0.8,0,0,16,0.08085566098275863
0.01,5,3,1,0.8,0,0,531,0.07894535283051361
0.05,5,3,1,0.8,0,0,117,0.08043315771809778
0.1,5,3,1,0.8,0,0,59,0.07957483861879583
0.3,5,3,1,0.8,0,0,15,0.08206839307090616
0.01,7,3,1,0.8,0,0,483,0.07828070856620473
0.05,7,3,1,0.8,0,0,107,0.07908538062990603
0.1,7,3,1,0.8,0,0,56,0.08000061186395456
0.3,7,3,1,0.8,0,0,13,0.08173749246169056
0.01,1,5,1,0.8,0,0,1111,0.08039841601222941
0.05,1,5,1,0.8,0,0,266,0.0803065233972317
0.1,1,5,1,0.8,0,0,95,0.08040301288067443
0.3,1,5,1,0.8,0,0,35,0.08055741206582312
0.01,3,5,1,0.8,0,0,513,0.07848623987003685
0.05,3,5,1,0.8,0,0,104,0.07870046432094312
0.1,3,5,1,0.8,0,0,56,0.07896009326670687
0.3,3,5,1,0.8,0,0,18,0.07936145193621938
0.01,5,5,1,0.8,0,0,523,0.07924075788483959
0.05,5,5,1,0.8,0,0,93,0.07903710279296877
0.1,5,5,1,0.8,0,0,48,0.07914706709385178
0.3,5,5,1,0.8,0,0,16,0.08090459104040812
0.01,7,5,1,0.8,0,0,452,0.07870878972294852
0.05,7,5,1,0.8,0,0,98,0.07876863032334062
0.1,7,5,1,0.8,0,0,52,0.07909287131138502
0.3,7,5,1,0.8,0,0,15,0.08088531195250967
0.01,1,7,1,0.8,0,0,1102,0.08037513772730202
0.05,1,7,1,0.8,0,0,228,0.08033509784710802
0.1,1,7,1,0.8,0,0,92,0.0803875666600869
0.3,1,7,1,0.8,0,0,35,0.08055535456564944
0.01,3,7,1,0.8,0,0,526,0.07828298304655883
0.05,3,7,1,0.8,0,0,108,0.07848017302989314
0.1,3,7,1,0.8,0,0,58,0.07857119717865542
