Metric,Training,Test
RMSE_0,0.00343,0.00708
RMSE,4.7e-4,0.00147
RMSE_Metrics,4.7e-4,0.00147
RMSE_caret,4.7e-4,0.00147
MSE_Metrics,0,0
MAE_Metrics,3.5e-4,8.5e-4
MAE_caret,3.5e-4,8.5e-4
MAPE_Metrics,3.5e-4,8.5e-4
RMSLE_Metrics,2.3e-4,7.4e-4
R2,0.97688,0.77499
R2_caret,0.97753,0.7753
R2_yardstick,0.97753,0.7753
RMSE_yardstick,4.7e-4,0.00147
Pearson_Cor,0.9887,0.88051
Pearson_P_Value,0,0
Spearman_Cor,0.9744,0.86928
Spearman_P_Value,0,0
SD_Error,4.7e-4,0.00147
