"Fold_ID","Area_code","Feature","Feature_Label","Feature_Value","SHAP_Value"
2,1001,"P_read_write","Literacy",1.15119465381233,-0.019489660859108
2,1002,"P_read_write","Literacy",0.848201308120943,-0.0183479152619839
2,1003,"P_read_write","Literacy",0.717883328468205,-0.0133082056418061
2,1004,"P_read_write","Literacy",0.886008370113181,-0.0213862601667643
2,1005,"P_read_write","Literacy",1.04043500454548,-0.019216587767005
2,1006,"P_read_write","Literacy",0.941373280134736,-0.0177798941731453
2,1007,"P_read_write","Literacy",0.866878774520987,-0.0177798941731453
2,1008,"P_read_write","Literacy",1.0449017215624,-0.024376729503274
2,1009,"P_read_write","Literacy",0.713535740754016,-0.0184007883071899
2,1010,"P_read_write","Literacy",0.789647567501045,-0.0199211724102497
2,1011,"P_read_write","Literacy",1.04808251558654,-0.0159020759165287
2,2001,"P_read_write","Literacy",1.08224533698596,-0.0180707853287458
2,2002,"P_read_write","Literacy",1.16373433998458,-0.0180735532194376
2,2003,"P_read_write","Literacy",1.10923761292125,-0.0180707853287458
2,2004,"P_read_write","Literacy",1.18645987014334,-0.0136097120121121
2,2005,"P_read_write","Literacy",1.11167799283908,-0.0180735532194376
2,2006,"P_read_write","Literacy",0.361278115825816,0.00330077717080712
2,3002,"P_read_write","Literacy",0.86387079003358,-0.0157561860978603
2,3008,"P_read_write","Literacy",1.10622899144489,-0.0142492158338428
2,3009,"P_read_write","Literacy",1.10811462613645,-0.0169471241533756
2,4001,"P_read_write","Literacy",0.00665701038874228,0.0150222470983863
2,4002,"P_read_write","Literacy",0.922647500493359,-0.0157609991729259
2,4003,"P_read_write","Literacy",0.86487009479688,-0.0189957357943058
2,4004,"P_read_write","Literacy",0.178444695216738,0.00873745884746313
2,4005,"P_read_write","Literacy",0.223171915509415,0.00127799389883876
2,4006,"P_read_write","Literacy",0.227059408577377,-0.000753744738176465
2,4007,"P_read_write","Literacy",0.371385993601477,0.00243726256303489
2,4008,"P_read_write","Literacy",0.232415101397377,0.00187516142614186
2,4009,"P_read_write","Literacy",0.211908676861594,-0.000634192547295243
2,4010,"P_read_write","Literacy",-0.304449787270403,0.0158215239644051
2,4011,"P_read_write","Literacy",-0.0566372731314596,0.0155915636569262
2,4012,"P_read_write","Literacy",0.476020020059122,-0.000242521520704031
2,5001,"P_read_write","Literacy",1.0683115211265,-0.0195621699094772
2,5002,"P_read_write","Literacy",1.16437506635064,-0.0180883407592773
2,5003,"P_read_write","Literacy",1.10203797623352,-0.0192752610892057
2,5004,"P_read_write","Literacy",0.857212236292899,-0.0171091072261333
2,5005,"P_read_write","Literacy",0.301836335302458,-0.00101252074819058
2,5006,"P_read_write","Literacy",1.15119500116714,-0.0174872986972332
2,5007,"P_read_write","Literacy",0.874057964687943,-0.015600910410285
2,5008,"P_read_write","Literacy",0.909057190718115,-0.0154342614114285
2,5009,"P_read_write","Literacy",0.967231662137829,-0.0145418327301741
2,5010,"P_read_write","Literacy",1.19984269365158,-0.0190516598522663
2,5011,"P_read_write","Literacy",0.710903786924259,-0.0182069819420576
2,5012,"P_read_write","Literacy",0.283942872430692,-0.00189862353727221
2,5013,"P_read_write","Literacy",0.659509259961806,-0.00262162485159934
2,5014,"P_read_write","Literacy",0.947532586053904,-0.0161689314991236
2,5015,"P_read_write","Literacy",0.94929930068021,-0.0158978383988142
2,5016,"P_read_write","Literacy",0.978806588344073,-0.0152804590761662
2,5017,"P_read_write","Literacy",0.917630469343224,-0.014613582752645
2,5018,"P_read_write","Literacy",1.22524715505994,-0.0197436660528183
2,5019,"P_read_write","Literacy",1.1221260629134,-0.0190425384789705
2,5020,"P_read_write","Literacy",1.05714409365671,-0.0175496563315392
2,5021,"P_read_write","Literacy",1.07481532778092,-0.0230228547006845
2,5022,"P_read_write","Literacy",1.13499615360585,-0.0197949260473251
2,5023,"P_read_write","Literacy",0.802640640351729,-0.0161689314991236
2,5024,"P_read_write","Literacy",0.918208111127063,-0.0188224390149117
2,5025,"P_read_write","Literacy",1.18637347671297,-0.0185395609587431
2,5026,"P_read_write","Literacy",0.88758644015216,-0.0151817034929991
2,5027,"P_read_write","Literacy",1.15850810537716,-0.0135765559971333
2,5028,"P_read_write","Literacy",1.18623446469684,-0.0190395098179579
2,5029,"P_read_write","Literacy",0.982618370430685,-0.0201228372752666
2,5030,"P_read_write","Literacy",1.20063681788296,-0.0185395609587431
2,5031,"P_read_write","Literacy",1.17597292622061,-0.0181061383336782
2,5032,"P_read_write","Literacy",1.19146582304549,-0.0195816587656736
2,5033,"P_read_write","Literacy",0.835807710932686,-0.0143813835456967
2,5034,"P_read_write","Literacy",1.03032386039767,-0.018798153847456
2,5035,"P_read_write","Literacy",1.21786834203813,-0.0182087980210781
2,5036,"P_read_write","Literacy",0.682102533485652,-0.00378506514243782
2,5037,"P_read_write","Literacy",0.994682394894997,-0.0171622093766928
2,5038,"P_read_write","Literacy",0.898935434210679,-0.0161716993898153
2,6007,"P_read_write","Literacy",1.05831426606809,-0.0185543484985828
2,6009,"P_read_write","Literacy",0.396456113114562,-0.0010950897121802
2,7001,"P_read_write","Literacy",0.000217833375502602,0.0120429107919335
2,7002,"P_read_write","Literacy",-0.85196618152452,0.0161261204630136
2,7003,"P_read_write","Literacy",-0.470260360480376,0.0119555247947574
2,7004,"P_read_write","Literacy",-1.13950573512217,0.0145022291690111
2,7005,"P_read_write","Literacy",-0.580695177334263,0.0177432373166084
2,7006,"P_read_write","Literacy",-0.607660059652435,0.0119279259815812
2,7007,"P_read_write","Literacy",-1.59325016839828,0.0173030979931355
