"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
4,0.1,1,1,0.8,1,1,0,125,0.00138782166269032
4,0.1,7,5,1,1,0.5,0.5,144,0.00157809488753642
4,0.1,3,1,0.8,1,1,1,424,0.00178841205363159
4,0.05,5,3,1,1,1,1,275,0.0017251687732972
4,0.1,3,3,0.8,1,0.5,1,390,0.00181929104768798
4,0.05,5,1,0.65,0.9,0,0,194,0.00131913038370452
4,0.05,1,5,0.65,1,1,0.5,412,0.00157651630922133
4,0.05,7,1,0.65,0.8,1,0,282,0.00135844034910504
4,0.1,3,3,0.8,0.9,0,1,255,0.00175998712130611
4,0.01,5,5,1,0.8,0,1,1243,0.00171796444726415
4,0.3,1,1,1,0.9,0.5,0.5,46,0.00162760786841848
4,0.05,7,1,1,0.8,0,0.5,282,0.00158927540506272
4,0.05,3,3,0.8,1,0.5,1,784,0.00175739236505868
4,0.01,5,3,0.8,1,0.5,1,2421,0.00180241398035093
4,0.05,3,5,0.65,0.9,0,1,731,0.00185959175547729
4,0.1,1,3,0.8,0.9,0,0,136,0.00136578152688235
4,0.3,5,5,1,1,0,0,24,0.00134993211979927
4,0.01,5,3,0.65,0.9,0,1,2414,0.00189068582581394
4,0.1,7,7,0.8,0.8,0,1,549,0.00177667825381445
4,0.1,7,7,1,1,0,0.5,144,0.00153829671409568
4,0.01,5,7,0.65,0.8,1,0.5,2637,0.00159614988610405
4,0.3,1,1,1,0.9,1,1,45,0.00177259512487887
4,0.01,7,1,1,0.8,1,0.5,1275,0.00157800081648492
4,0.01,5,1,1,1,0.5,1,1242,0.00174185124844003
4,0.01,3,3,0.65,0.8,0,0,965,0.00131484428216136
4,0.1,3,1,0.65,0.8,0.5,1,434,0.00187999550426036
4,0.3,3,7,1,0.8,0,1,46,0.00180746092993528
4,0.05,5,5,0.8,1,1,0,269,0.00129539118077048
4,0.1,1,3,1,1,0.5,0,147,0.00135640519323075
4,0.05,1,7,0.65,0.9,1,1,523,0.0018776662339557
4,0.01,3,5,0.65,0.8,1,0.5,2719,0.0015938920262638
4,0.05,3,7,0.65,0.8,0.5,1,594,0.00190582485003662
4,0.1,7,5,0.65,0.8,0.5,1,248,0.00190318013511486
4,0.3,5,3,0.65,0.9,0,1,176,0.00196457288419516
4,0.05,3,5,1,0.8,1,0,247,0.00133200440444657
4,0.01,3,7,1,0.9,1,1,1245,0.00170212135822122
4,0.1,1,5,1,1,0.5,1,141,0.00169050347389879
4,0.1,5,5,1,1,0.5,1,141,0.00171954625597052
4,0.01,1,5,0.8,1,0,0,1031,0.00138001080946649
4,0.3,5,3,1,0.9,0.5,1,46,0.00174568004914307
4,0.1,5,3,1,1,1,0,112,0.00132572025170488
4,0.3,5,5,0.65,0.8,0.5,0.5,115,0.00175567305037515
4,0.05,5,7,0.65,1,0,1,678,0.00186964148811925
4,0.01,3,1,0.8,0.9,0,0,1043,0.00128027784754327
4,0.1,3,3,0.65,1,1,0.5,365,0.00164503396011309
4,0.01,7,3,1,0.9,1,0.5,1276,0.00151206553550459
4,0.01,7,3,0.8,0.9,1,0.5,2525,0.00156541030287112
4,0.05,7,7,0.65,0.8,0,0,177,0.00133083389732095
