Metric,Training,Test
RMSE_0,0.16944,0.3901
RMSE,0.02475,0.08695
RMSE_Metrics,0.02475,0.08695
RMSE_caret,0.02475,0.08695
MSE_Metrics,6.1e-4,0.00756
MAE_Metrics,0.01586,0.04492
MAE_caret,0.01586,0.04492
MAPE_Metrics,0.08895,0.07081
RMSLE_Metrics,0.01473,0.05188
R2,0.9273,-0.14386
R2_caret,0.94438,0.0896
R2_yardstick,0.94438,0.0896
RMSE_yardstick,0.02475,0.08695
Pearson_Cor,0.97179,0.29933
Pearson_P_Value,0,0
Spearman_Cor,0.90479,0.53015
Spearman_P_Value,0,0
SD_Error,0.02476,0.08649
