eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,5,3,0.8,0.8,0,0,524,0.07957568267437043
0.05,5,3,0.8,0.8,0,0,98,0.08022044247665878
0.1,5,3,0.8,0.8,0,0,85,0.08195420472781771
0.3,5,3,0.8,0.8,0,0,16,0.08473308151472853
0.01,7,3,0.8,0.8,0,0,509,0.07943382318843512
0.05,7,3,0.8,0.8,0,0,95,0.0805698565148333
0.1,7,3,0.8,0.8,0,0,83,0.08191663996824097
0.3,7,3,0.8,0.8,0,0,12,0.08626009583113356
0.01,1,5,0.8,0.8,0,0,1206,0.08203951663097625
0.05,1,5,0.8,0.8,0,0,265,0.08204317342496328
0.1,1,5,0.8,0.8,0,0,120,0.08227563998904006
0.3,1,5,0.8,0.8,0,0,48,0.08227755953938304
0.01,3,5,0.8,0.8,0,0,459,0.08035563470317243
0.05,3,5,0.8,0.8,0,0,98,0.08059456999708431
0.1,3,5,0.8,0.8,0,0,66,0.08084081881239226
0.3,3,5,0.8,0.8,0,0,18,0.08322211991368345
0.01,5,5,0.8,0.8,0,0,524,0.07921635417186432
0.05,5,5,0.8,0.8,0,0,118,0.07994502362499406
0.1,5,5,0.8,0.8,0,0,79,0.0811035184584945
0.3,5,5,0.8,0.8,0,0,15,0.08219304073457032
0.01,7,5,0.8,0.8,0,0,522,0.07919636809809147
0.05,7,5,0.8,0.8,0,0,81,0.0799470948368516
0.1,7,5,0.8,0.8,0,0,48,0.0809984522846351
0.3,7,5,0.8,0.8,0,0,14,0.0840015186707303
0.01,1,7,0.8,0.8,0,0,1209,0.08199090004545055
0.05,1,7,0.8,0.8,0,0,304,0.0818376080118868
0.1,1,7,0.8,0.8,0,0,133,0.08215723176396668
0.3,1,7,0.8,0.8,0,0,84,0.08170758060735807
0.01,3,7,0.8,0.8,0,0,527,0.07963664549326238
0.05,3,7,0.8,0.8,0,0,103,0.07986334475978342
0.1,3,7,0.8,0.8,0,0,52,0.07993745348082137
0.3,3,7,0.8,0.8,0,0,13,0.08181719365346156
0.01,5,7,0.8,0.8,0,0,505,0.07892714943034433
0.05,5,7,0.8,0.8,0,0,103,0.07896548357729649
0.1,5,7,0.8,0.8,0,0,45,0.08095157992233828
0.3,5,7,0.8,0.8,0,0,13,0.08296877972958658
0.01,7,7,0.8,0.8,0,0,523,0.07888483054885062
0.05,7,7,0.8,0.8,0,0,100,0.0792428209340282
0.1,7,7,0.8,0.8,0,0,41,0.0793281332046769
0.3,7,7,0.8,0.8,0,0,13,0.08265616854281646
0.01,1,1,1,0.8,0,0,1109,0.08284906834021367
0.05,1,1,1,0.8,0,0,297,0.08258649511439976
0.1,1,1,1,0.8,0,0,155,0.0825470901269635
0.3,1,1,1,0.8,0,0,81,0.08209313863819515
0.01,3,1,1,0.8,0,0,494,0.08244285619720909
0.05,3,1,1,0.8,0,0,115,0.08209353370037857
0.1,3,1,1,0.8,0,0,50,0.08307654569902202
0.3,3,1,1,0.8,0,0,13,0.08352444149098696
0.01,5,1,1,0.8,0,0,460,0.08087719306406149
0.05,5,1,1,0.8,0,0,114,0.08163630181970544
0.1,5,1,1,0.8,0,0,62,0.0815311170662327
0.3,5,1,1,0.8,0,0,13,0.08348586715282164
0.01,7,1,1,0.8,0,0,613,0.0806533730465376
0.05,7,1,1,0.8,0,0,155,0.08175514612768835
0.1,7,1,1,0.8,0,0,55,0.08233716867634666
0.3,7,1,1,0.8,0,0,23,0.08442065443877235
0.01,1,3,1,0.8,0,0,1320,0.08231756450988943
0.05,1,3,1,0.8,0,0,255,0.08228166044167907
0.1,1,3,1,0.8,0,0,162,0.08211458895197282
0.3,1,3,1,0.8,0,0,55,0.08197638719808091
0.01,3,3,1,0.8,0,0,478,0.08094569568422913
0.05,3,3,1,0.8,0,0,134,0.08074536701450759
0.1,3,3,1,0.8,0,0,67,0.08076304876677448
0.3,3,3,1,0.8,0,0,16,0.08105236578594234
0.01,5,3,1,0.8,0,0,520,0.0800756291650763
0.05,5,3,1,0.8,0,0,115,0.08089686458206417
0.1,5,3,1,0.8,0,0,47,0.08173458329928401
0.3,5,3,1,0.8,0,0,17,0.08135046498111634
0.01,7,3,1,0.8,0,0,522,0.07989587815494806
0.05,7,3,1,0.8,0,0,114,0.07933968604685741
0.1,7,3,1,0.8,0,0,58,0.08222752077299475
0.3,7,3,1,0.8,0,0,25,0.08321902215316114
0.01,1,5,1,0.8,0,0,1107,0.08242173019991911
0.05,1,5,1,0.8,0,0,259,0.08222309324661342
0.1,1,5,1,0.8,0,0,132,0.0821653475228302
0.3,1,5,1,0.8,0,0,83,0.08163591832500992
