Metric,Train,Test
RMSE,0.052750754791137416,0.07552341665637766
Pearson,0.826173185282591,0.4663726537129821
Spearman,0.7691202613770372,0.645432659583329
SD_Error,0.0527609851362403,0.07543756442850427
R2,0.6419403738455512,0.20995428454799783
SD_RMSE,0.006006748049786622,0.01298860635039545
