"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
2,0.1,1,1,0.8,1,1,0,94,0.00169715962455165
2,0.1,7,5,1,1,0.5,0.5,143,0.00181301542809075
2,0.1,3,1,0.8,1,1,1,356,0.00218199464670554
2,0.05,5,3,1,1,1,1,272,0.00207841274402101
2,0.1,3,3,0.8,1,0.5,1,326,0.00220138107716844
2,0.05,5,1,0.65,0.9,0,0,234,0.00149174585647866
2,0.05,1,5,0.65,1,1,0.5,735,0.00190515741118647
2,0.05,7,1,0.65,0.8,1,0,228,0.00154047891192541
2,0.1,3,3,0.8,0.9,0,1,486,0.00215843501179212
2,0.01,5,5,1,0.8,0,1,1231,0.00209185275148889
2,0.3,1,1,1,0.9,0.5,0.5,43,0.00201572257336511
2,0.05,7,1,1,0.8,0,0.5,278,0.00180506239512153
2,0.05,3,3,0.8,1,0.5,1,824,0.00211898875025945
2,0.01,5,3,0.8,1,0.5,1,3276,0.00215895440641166
2,0.05,3,5,0.65,0.9,0,1,723,0.00224419581647022
2,0.1,1,3,0.8,0.9,0,0,96,0.00165470959972045
2,0.3,5,5,1,1,0,0,38,0.00156737091135322
2,0.01,5,3,0.65,0.9,0,1,2514,0.00226939380920509
2,0.1,7,7,0.8,0.8,0,1,219,0.00214478480648126
2,0.1,7,7,1,1,0,0.5,143,0.00184861830172614
2,0.01,5,7,0.65,0.8,1,0.5,2895,0.0018987765544512
2,0.3,1,1,1,0.9,1,1,30,0.00212641834116887
2,0.01,7,1,1,0.8,1,0.5,1261,0.00180242486819473
2,0.01,5,1,1,1,0.5,1,1231,0.00202108250855153
2,0.01,3,3,0.65,0.8,0,0,1056,0.00152736134204194
2,0.1,3,1,0.65,0.8,0.5,1,279,0.00227835681936715
2,0.3,3,7,1,0.8,0,1,45,0.00214297234834515
2,0.05,5,5,0.8,1,1,0,186,0.0015343167578291
2,0.1,1,3,1,1,0.5,0,246,0.0016460859705132
2,0.05,1,7,0.65,0.9,1,1,404,0.00228554575145731
2,0.01,3,5,0.65,0.8,1,0.5,3115,0.00189208794924121
2,0.05,3,7,0.65,0.8,0.5,1,760,0.00225931479474521
2,0.1,7,5,0.65,0.8,0.5,1,325,0.00226626335331266
2,0.3,5,3,0.65,0.9,0,1,161,0.00238997809709156
2,0.05,3,5,1,0.8,1,0,199,0.00158560654752124
2,0.01,3,7,1,0.9,1,1,1228,0.0020637418734848
2,0.1,1,5,1,1,0.5,1,138,0.00206381549106894
2,0.1,5,5,1,1,0.5,1,140,0.00208397169486626
2,0.01,1,5,0.8,1,0,0,1689,0.00161240366846175
2,0.3,5,3,1,0.9,0.5,1,45,0.00214712421846106
2,0.1,5,3,1,1,1,0,114,0.0015777386626904
2,0.3,5,5,0.65,0.8,0.5,0.5,144,0.0020915919484528
2,0.05,5,7,0.65,1,0,1,631,0.00228358134480807
2,0.01,3,1,0.8,0.9,0,0,1234,0.00154982836260243
2,0.1,3,3,0.65,1,1,0.5,324,0.00197672153937017
2,0.01,7,3,1,0.9,1,0.5,1261,0.00184384508922945
2,0.01,7,3,0.8,0.9,1,0.5,2550,0.00185508860874612
2,0.05,7,7,0.65,0.8,0,0,176,0.00153337648210628
2,0.1,1,1,1,0.8,1,0.5,141,0.00192009863188163
2,0.1,1,1,0.65,0.9,1,1,425,0.00225767923408598
