Metric,Train,Test
RMSE,0.04964368273750376,0.059922624906318105
Pearson,0.8703199416697562,0.4381374025865455
Spearman,0.7765138668912817,0.6831498826711212
SD_Error,0.0496302859138221,0.05986103987634264
R2,0.7096131392008207,0.1373936212502298
