Metric,Train,Test
RMSE,0.07594667564276923,0.08564769850714474
Pearson,0.5309453915093242,0.2758569639608591
Spearman,0.6720550593146642,0.49930918997229984
SD_Error,0.0759688530926864,0.08567856127858008
R2,0.26864496888760603,0.05948444233182315
