Metric,Train,Test
RMSE,0.06890436656799305,0.059541686240178915
Pearson,0.6941998838933502,0.41185758967583
Spearman,0.6925650765538208,0.6599903551684366
SD_Error,0.06892347124821104,0.05957109123075754
R2,0.44057423014431696,0.14832624108942938
