eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,5,3,0.8,0.8,0,0,604,0.07678631123777042
0.05,5,3,0.8,0.8,0,0,101,0.07859151076583645
0.1,5,3,0.8,0.8,0,0,44,0.07865529874435746
0.3,5,3,0.8,0.8,0,0,10,0.08519954415027205
0.01,7,3,0.8,0.8,0,0,523,0.07736471708036281
0.05,7,3,0.8,0.8,0,0,89,0.07818674889133843
0.1,7,3,0.8,0.8,0,0,44,0.07992585775269935
0.3,7,3,0.8,0.8,0,0,19,0.08419255274348246
0.01,1,5,0.8,0.8,0,0,522,0.08009586413214795
0.05,1,5,0.8,0.8,0,0,118,0.08005299039063862
0.1,1,5,0.8,0.8,0,0,61,0.07974648482417401
0.3,1,5,0.8,0.8,0,0,22,0.08038629565270965
0.01,3,5,0.8,0.8,0,0,525,0.07716895081226982
0.05,3,5,0.8,0.8,0,0,136,0.07669891617949244
0.1,3,5,0.8,0.8,0,0,64,0.07699223903053463
0.3,3,5,0.8,0.8,0,0,14,0.0801328325356611
0.01,5,5,0.8,0.8,0,0,498,0.07669397612633862
0.05,5,5,0.8,0.8,0,0,98,0.07758580376681494
0.1,5,5,0.8,0.8,0,0,44,0.07776165835400872
0.3,5,5,0.8,0.8,0,0,14,0.08305911760757266
0.01,7,5,0.8,0.8,0,0,523,0.07684368130481346
0.05,7,5,0.8,0.8,0,0,94,0.07777819026360772
0.1,7,5,0.8,0.8,0,0,57,0.07892133503752506
0.3,7,5,0.8,0.8,0,0,11,0.0836073162599554
0.01,1,7,0.8,0.8,0,0,518,0.07997887440712807
0.05,1,7,0.8,0.8,0,0,103,0.07996485456763112
0.1,1,7,0.8,0.8,0,0,61,0.07973399545090915
0.3,1,7,0.8,0.8,0,0,30,0.08021736437070305
0.01,3,7,0.8,0.8,0,0,519,0.0769394125334727
0.05,3,7,0.8,0.8,0,0,122,0.07722794519995861
0.1,3,7,0.8,0.8,0,0,49,0.07729659529538334
0.3,3,7,0.8,0.8,0,0,14,0.0783407863361391
0.01,5,7,0.8,0.8,0,0,479,0.07638941783862693
0.05,5,7,0.8,0.8,0,0,103,0.0772193174707613
0.1,5,7,0.8,0.8,0,0,47,0.07738085383140628
0.3,5,7,0.8,0.8,0,0,13,0.08144786750260391
0.01,7,7,0.8,0.8,0,0,473,0.0763965444988045
0.05,7,7,0.8,0.8,0,0,108,0.07698237607335517
0.1,7,7,0.8,0.8,0,0,44,0.07795388483453516
0.3,7,7,0.8,0.8,0,0,12,0.08094904363252921
0.01,1,1,1,0.8,0,0,749,0.08017797374849112
0.05,1,1,1,0.8,0,0,145,0.08013318674763405
0.1,1,1,1,0.8,0,0,72,0.08009826123859964
0.3,1,1,1,0.8,0,0,24,0.08021498119085606
0.01,3,1,1,0.8,0,0,479,0.07907644295483215
0.05,3,1,1,0.8,0,0,97,0.0795683951825743
0.1,3,1,1,0.8,0,0,62,0.07958286844778711
0.3,3,1,1,0.8,0,0,22,0.07972870008713624
0.01,5,1,1,0.8,0,0,471,0.07965268545768603
0.05,5,1,1,0.8,0,0,101,0.08078864693016574
