Metric,Train,Test
RMSE,0.04745515485941207,0.08123130354022305
Pearson,0.8737334552568884,0.4102321576553215
Spearman,0.7925259942254332,0.5653048235214085
SD_Error,0.04746534030594517,0.08123100214673962
R2,0.7144530628913712,0.15397843280735501
