Metric,Training,Test
RMSE_0,0.00356,0.00719
RMSE,0.00047,0.00145
RMSE_Metrics,4.70E-04,0.00145
RMSE_caret,4.70E-04,0.00145
MSE_Metrics,0,0
MAE_Metrics,3.50E-04,8.40E-04
MAE_caret,3.50E-04,8.40E-04
MAPE_Metrics,3.60E-04,8.50E-04
RMSLE_Metrics,2.40E-04,7.30E-04
R2,0.97669,0.78234
R2_caret,0.97737,0.78286
R2_yardstick,0.97737,0.78286
RMSE_yardstick,4.70E-04,0.00145
Pearson_Cor,0.98862,0.88479
Pearson_P_Value,0,0
Spearman_Cor,0.9738,0.87689
Spearman_P_Value,0,0
SD_Error,0.00047,0.00145
