Metric,Training,Test
RMSE_0,0.10726,0.36837
RMSE,0.01515,0.07941
RMSE_Metrics,0.01515,0.07941
RMSE_caret,0.01515,0.07941
MSE_Metrics,2.3e-4,0.00631
MAE_Metrics,0.0096,0.04242
MAE_caret,0.0096,0.04242
MAPE_Metrics,0.05787,0.0678
RMSLE_Metrics,0.00922,0.04762
R2,0.97275,0.04586
R2_caret,0.98127,0.13788
R2_yardstick,0.98127,0.13788
RMSE_yardstick,0.01515,0.07941
Pearson_Cor,0.99059,0.37132
Pearson_P_Value,0,0
Spearman_Cor,0.9568,0.56475
Spearman_P_Value,0,0
SD_Error,0.01516,0.07901
