"fold_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","optimal_trees","min_RMSE"
1,0.01,1,1,0.65,0.8,0,0,1350,0.00140050036531014
1,0.05,1,1,0.65,0.8,0,0,275,0.00144136645083256
1,0.1,1,1,0.65,0.8,0,0,172,0.00141492140662282
1,0.3,1,1,0.65,0.8,0,0,72,0.00148798623077193
1,0.01,3,1,0.65,0.8,0,0,1029,0.00134589936059069
1,0.05,3,1,0.65,0.8,0,0,238,0.00133624039035173
1,0.1,3,1,0.65,0.8,0,0,186,0.00134541924911882
1,0.3,3,1,0.65,0.8,0,0,31,0.00142366265472032
1,0.01,5,1,0.65,0.8,0,0,1031,0.00136715226325632
1,0.05,5,1,0.65,0.8,0,0,219,0.00133695138666519
1,0.1,5,1,0.65,0.8,0,0,113,0.0013759124444866
1,0.3,5,1,0.65,0.8,0,0,23,0.0014670548789085
1,0.01,7,1,0.65,0.8,0,0,1079,0.00134569051253276
1,0.05,7,1,0.65,0.8,0,0,215,0.00136469458593126
1,0.1,7,1,0.65,0.8,0,0,113,0.00136495432966379
1,0.3,7,1,0.65,0.8,0,0,38,0.00147392065618168
1,0.01,1,3,0.65,0.8,0,0,1604,0.00138901122597809
1,0.05,1,3,0.65,0.8,0,0,324,0.00139517812062009
1,0.1,1,3,0.65,0.8,0,0,172,0.00141738962616798
1,0.3,1,3,0.65,0.8,0,0,49,0.00141623904050531
1,0.01,3,3,0.65,0.8,0,0,931,0.00134356615175781
1,0.05,3,3,0.65,0.8,0,0,198,0.00132225269573738
1,0.1,3,3,0.65,0.8,0,0,111,0.0013485148469008
1,0.3,3,3,0.65,0.8,0,0,26,0.00136998682111372
1,0.01,5,3,0.65,0.8,0,0,945,0.00129936610696662
1,0.05,5,3,0.65,0.8,0,0,191,0.00132236816135296
1,0.1,5,3,0.65,0.8,0,0,87,0.00138190657967147
1,0.3,5,3,0.65,0.8,0,0,27,0.00143657424040022
1,0.01,7,3,0.65,0.8,0,0,1134,0.00134307201120777
1,0.05,7,3,0.65,0.8,0,0,189,0.00131665969591488
1,0.1,7,3,0.65,0.8,0,0,134,0.00136309890181532
1,0.3,7,3,0.65,0.8,0,0,43,0.00145946099677032
1,0.01,1,5,0.65,0.8,0,0,1179,0.00144945421606087
1,0.05,1,5,0.65,0.8,0,0,262,0.00141779260043283
1,0.1,1,5,0.65,0.8,0,0,118,0.00141581006706604
1,0.3,1,5,0.65,0.8,0,0,91,0.00146268810267727
1,0.01,3,5,0.65,0.8,0,0,948,0.00130971811458843
1,0.05,3,5,0.65,0.8,0,0,198,0.00134003939773112
1,0.1,3,5,0.65,0.8,0,0,120,0.00135669193804098
1,0.3,3,5,0.65,0.8,0,0,37,0.00139825105874227
1,0.01,5,5,0.65,0.8,0,0,982,0.00136252609234579
1,0.05,5,5,0.65,0.8,0,0,198,0.0013800434733387
1,0.1,5,5,0.65,0.8,0,0,86,0.00134006969422541
1,0.3,5,5,0.65,0.8,0,0,29,0.00140791772073346
1,0.01,7,5,0.65,0.8,0,0,931,0.00131224539473715
1,0.05,7,5,0.65,0.8,0,0,194,0.00133300170678326
1,0.1,7,5,0.65,0.8,0,0,86,0.0013644375499293
1,0.3,7,5,0.65,0.8,0,0,23,0.00146838817831356
1,0.01,1,7,0.65,0.8,0,0,1151,0.00141673581772468
1,0.05,1,7,0.65,0.8,0,0,255,0.00141622069678815
1,0.1,1,7,0.65,0.8,0,0,110,0.00143572975626855
1,0.3,1,7,0.65,0.8,0,0,101,0.00144726527315434
1,0.01,3,7,0.65,0.8,0,0,999,0.00134278366236241
1,0.05,3,7,0.65,0.8,0,0,176,0.0013591231302315
1,0.1,3,7,0.65,0.8,0,0,90,0.00137538983054121
1,0.3,3,7,0.65,0.8,0,0,31,0.00141728502048734
1,0.01,5,7,0.65,0.8,0,0,896,0.00133429529046328
1,0.05,5,7,0.65,0.8,0,0,197,0.0013512687042879
1,0.1,5,7,0.65,0.8,0,0,103,0.00138723021627363
1,0.3,5,7,0.65,0.8,0,0,26,0.00142363125902961
1,0.01,7,7,0.65,0.8,0,0,914,0.00137455550583446
1,0.05,7,7,0.65,0.8,0,0,192,0.00133580192216964
1,0.1,7,7,0.65,0.8,0,0,91,0.00139542354590887
1,0.3,7,7,0.65,0.8,0,0,23,0.0014401933973937
1,0.01,1,1,0.8,0.8,0,0,1401,0.00140721016047454
1,0.05,1,1,0.8,0.8,0,0,418,0.00141221189772379
1,0.1,1,1,0.8,0.8,0,0,168,0.00141187933454787
1,0.3,1,1,0.8,0.8,0,0,76,0.00146187622925189
1,0.01,3,1,0.8,0.8,0,0,988,0.00134344630504956
1,0.05,3,1,0.8,0.8,0,0,209,0.00136595256815538
1,0.1,3,1,0.8,0.8,0,0,129,0.00136076487012153
1,0.3,3,1,0.8,0.8,0,0,35,0.00142735782387299
1,0.01,5,1,0.8,0.8,0,0,1034,0.00133675950603153
1,0.05,5,1,0.8,0.8,0,0,233,0.00135224071102946
1,0.1,5,1,0.8,0.8,0,0,110,0.00138115163067313
1,0.3,5,1,0.8,0.8,0,0,27,0.00138606345873629
1,0.01,7,1,0.8,0.8,0,0,1292,0.00143118940173942
