"Area_code","Area_name","Total_Population","Total_active_population","Bias","Map_bias"
20181," San Juan Bautista Suchitepec",453,NA,NA,NA
20182," San Juan Bautista Tlacoatzintepec",2181,NA,NA,NA
20191," San Juan Chicomezúchil",296,NA,NA,NA
20192," San Juan Chilateca",1522,NA,NA,NA
20188," San Juan Colorado",9609,NA,NA,NA
20194," San Juan del Río",1372,NA,NA,NA
20195," San Juan Diuxi",1056,NA,NA,NA
20196," San Juan Evangelista Analco",407,NA,NA,NA
20197," San Juan Guelavía",3288,NA,NA,NA
20209," San Juan Mixtepec.",607,NA,NA,NA
20215," San Juan Sayultepec",879,NA,NA,NA
20216," San Juan Tabaá",1241,NA,NA,NA
20219," San Juan Teitipac",2668,NA,NA,NA
20223," San Juan Yatzona",440,NA,NA,NA
20224," San Juan Yucuita",643,NA,NA,NA
20228," San Lorenzo Cuaunecuiltitla",833,NA,NA,NA
20230," San Lorenzo Victoria",932,NA,NA,NA
20236," San Marcial Ozolotepec",1372,NA,NA,NA
20238," San Martín de los Cansecos",994,NA,NA,NA
20239," San Martín Huamelúlpam",1000,NA,NA,NA
20240," San Martín Itunyoso",2749,NA,NA,NA
20241," San Martín Lachilá",1034,NA,NA,NA
20243," San Martín Tilcajete",1975,NA,NA,NA
20245," San Martín Zacatepec",1324,NA,NA,NA
20246," San Mateo Cajonos",611,NA,NA,NA
20248," San Mateo del Mar",15571,NA,NA,NA
20251," San Mateo Nejápam",1217,NA,NA,NA
20252," San Mateo Peñasco",2384,NA,NA,NA
20256," San Mateo Tlapiltepec",229,NA,NA,NA
20249," San Mateo Yoloxochitlán",3831,NA,NA,NA
20257," San Melchor Betaza",1052,NA,NA,NA
20258," San Miguel Achiutla",698,NA,NA,NA
20264," San Miguel Chicahua",2169,NA,NA,NA
20267," San Miguel del Río",245,NA,NA,NA
20268," San Miguel Ejutla",1149,NA,NA,NA
20274," San Miguel Piedras",1328,NA,NA,NA
20276," San Miguel Santa Flor",691,NA,NA,NA
20281," San Miguel Tecomatlán",305,NA,NA,NA
20289," San Nicolás",1214,NA,NA,NA
20293," San Pablo Etla",17116,NA,NA,NA
20295," San Pablo Huixtepec",10020,NA,NA,NA
20299," San Pablo Yaganiza",1125,NA,NA,NA
20301," San Pedro Apóstol",1594,NA,NA,NA
20303," San Pedro Cajonos",1081,NA,NA,NA
20305," San Pedro Comitancillo",4333,NA,NA,NA
20310," San Pedro Ixtlahuaca",14552,NA,NA,NA
20311," San Pedro Jaltepetongo",483,NA,NA,NA
20312," San Pedro Jicayán",11279,NA,NA,NA
20314," San Pedro Juchatengo",1755,NA,NA,NA
20315," San Pedro Mártir",1899,NA,NA,NA
20320," San Pedro Molinos",706,NA,NA,NA
20322," San Pedro Ocopetatillo",786,NA,NA,NA
20323," San Pedro Ocotepec",2404,NA,NA,NA
20328," San Pedro Taviche",1441,NA,NA,NA
20331," San Pedro Tidaá",982,NA,NA,NA
20341," San Pedro Yucunama",241,NA,NA,NA
20342," San Raymundo Jalpan",4105,NA,NA,NA
20343," San Sebastián Abasolo",1999,NA,NA,NA
20347," San Sebastián Río Hondo",4202,NA,NA,NA
20350," San Sebastián Tutla",16878,NA,NA,NA
20351," San Simón Almolongas",2802,NA,NA,NA
20352," San Simón Zahuatlán",4940,NA,NA,NA
20354," Santa Ana Ateixtlahuaca",477,NA,NA,NA
20359," Santa Ana Yareni",637,NA,NA,NA
20361," Santa Catalina Quierí",825,NA,NA,NA
20362," Santa Catarina Cuixtla",1495,NA,NA,NA
20365," Santa Catarina Lachatao",1059,NA,NA,NA
20368," Santa Catarina Minas",2067,NA,NA,NA
20369," Santa Catarina Quiané",2193,NA,NA,NA
20074," Santa Catarina Quioquitani",456,NA,NA,NA
20370," Santa Catarina Tayata",662,NA,NA,NA
20371," Santa Catarina Ticuá",986,NA,NA,NA
20374," Santa Cruz Acatepec",1645,NA,NA,NA
20375," Santa Cruz Amilpas",13200,NA,NA,NA
20376," Santa Cruz de Bravo",365,NA,NA,NA
20378," Santa Cruz Mixtepec",3720,NA,NA,NA
20379," Santa Cruz Nundaco",2951,NA,NA,NA
20380," Santa Cruz Papalutla",2242,NA,NA,NA
20381," Santa Cruz Tacache de Mina",2940,NA,NA,NA
20382," Santa Cruz Tacahua",1182,NA,NA,NA
20383," Santa Cruz Tayata",595,NA,NA,NA
20384," Santa Cruz Xitla",4794,NA,NA,NA
20387," Santa Gertrudis",2891,NA,NA,NA
20388," Santa Inés del Monte",2809,NA,NA,NA
20389," Santa Inés Yatzeche",908,NA,NA,NA
20390," Santa Lucía del Camino",50362,NA,NA,NA
20393," Santa Lucía Ocotlán",4173,NA,NA,NA
20047," Santa Magdalena Jicotlán",81,NA,NA,NA
20399," Santa María Atzompa",41921,NA,NA,NA
20404," Santa María Chachoápam",761,NA,NA,NA
20403," Santa María Coyotepec",3751,NA,NA,NA
20409," Santa María del Tule",8939,NA,NA,NA
20411," Santa María Guelacé",908,NA,NA,NA
20420," Santa María Lachixío",1679,NA,NA,NA
20422," Santa María Nativitas",603,NA,NA,NA
20429," Santa María Sola",1516,NA,NA,NA
20430," Santa María Tataltepec",317,NA,NA,NA
20432," Santa María Temaxcalapa",903,NA,NA,NA
20433," Santa María Temaxcaltepec",2694,NA,NA,NA
20444," Santa María Yolotepec",481,NA,NA,NA
20452," Santiago Apóstol",4421,NA,NA,NA
20456," Santiago Cacaloxtepec",1667,NA,NA,NA
20461," Santiago del Río",527,NA,NA,NA
20471," Santiago Lalopa",431,NA,NA,NA
20473," Santiago Laxopa",1291,NA,NA,NA
20479," Santiago Nejapilla",174,NA,NA,NA
20481," Santiago Nuyoó",1898,NA,NA,NA
20483," Santiago Suchilquitongo",10886,NA,NA,NA
20488," Santiago Tepetlapa",130,NA,NA,NA
20490," Santiago Texcalcingo",2974,NA,NA,NA
