Metric,Train,Test
RMSE,0.05801357473251532,0.08022152131801781
Pearson,0.7981770110764251,0.2956795271053966
Spearman,0.7519563313321284,0.5340765698653982
SD_Error,0.05802176244543578,0.08042136839619063
R2,0.5774593601320367,0.07854990637468262
