Metric,Training,Test
RMSE_0,0.01389,0.37887
RMSE,0.002,0.08307
RMSE_Metrics,0.002,0.08307
RMSE_caret,0.002,0.08307
MSE_Metrics,0,0.0069
MAE_Metrics,0.00136,0.04494
MAE_caret,0.00136,0.04494
MAPE_Metrics,0.00295,0.06875
RMSLE_Metrics,0.00108,0.04969
R2,0.99953,-0.04415
R2_caret,0.99958,0.1534
R2_yardstick,0.99958,0.1534
RMSE_yardstick,0.002,0.08307
Pearson_Cor,0.99979,0.39167
Pearson_P_Value,0,0
Spearman_Cor,0.99848,0.57679
Spearman_P_Value,0,0
SD_Error,0.002,0.0824
