eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,5,3,0.8,0.8,0,0,490,0.077454861506174
0.05,5,3,0.8,0.8,0,0,96,0.07928214574171817
0.1,5,3,0.8,0.8,0,0,57,0.07865243726673951
0.3,5,3,0.8,0.8,0,0,16,0.08249454645107746
0.01,7,3,0.8,0.8,0,0,510,0.07786520188051575
0.05,7,3,0.8,0.8,0,0,96,0.07942132765552146
0.1,7,3,0.8,0.8,0,0,58,0.07951112217411146
0.3,7,3,0.8,0.8,0,0,14,0.08369771243063195
0.01,1,5,0.8,0.8,0,0,567,0.08000589351840072
0.05,1,5,0.8,0.8,0,0,136,0.07984993651954174
0.1,1,5,0.8,0.8,0,0,60,0.0798078153814614
0.3,1,5,0.8,0.8,0,0,27,0.08000125523768042
0.01,3,5,0.8,0.8,0,0,577,0.07672209267766421
0.05,3,5,0.8,0.8,0,0,120,0.07732602397057052
0.1,3,5,0.8,0.8,0,0,67,0.07661729055995822
0.3,3,5,0.8,0.8,0,0,16,0.07866812778312597
0.01,5,5,0.8,0.8,0,0,448,0.0764677891251719
0.05,5,5,0.8,0.8,0,0,86,0.07762187657545047
0.1,5,5,0.8,0.8,0,0,87,0.07683045984410981
0.3,5,5,0.8,0.8,0,0,19,0.08035533290091751
0.01,7,5,0.8,0.8,0,0,456,0.07641253696662685
0.05,7,5,0.8,0.8,0,0,92,0.07661647664705597
0.1,7,5,0.8,0.8,0,0,46,0.07873201247155515
0.3,7,5,0.8,0.8,0,0,13,0.07950046657271388
0.01,1,7,0.8,0.8,0,0,561,0.07985511729294778
0.05,1,7,0.8,0.8,0,0,136,0.07987905175810195
0.1,1,7,0.8,0.8,0,0,52,0.07976416074739927
0.3,1,7,0.8,0.8,0,0,17,0.08001011040388327
0.01,3,7,0.8,0.8,0,0,454,0.07700337189756862
0.05,3,7,0.8,0.8,0,0,120,0.07673908888855505
0.1,3,7,0.8,0.8,0,0,97,0.07656274248314038
0.3,3,7,0.8,0.8,0,0,14,0.08023671163108669
0.01,5,7,0.8,0.8,0,0,452,0.07663387696265173
0.05,5,7,0.8,0.8,0,0,85,0.07757942156416017
0.1,5,7,0.8,0.8,0,0,45,0.07820305399182331
0.3,5,7,0.8,0.8,0,0,12,0.07985935472446908
0.01,7,7,0.8,0.8,0,0,493,0.07622611092277734
0.05,7,7,0.8,0.8,0,0,94,0.077618441915485
0.1,7,7,0.8,0.8,0,0,50,0.0775973781753028
0.3,7,7,0.8,0.8,0,0,23,0.07991739044161039
0.01,1,1,1,0.8,0,0,887,0.07961035884807492
0.05,1,1,1,0.8,0,0,188,0.07954435817056978
0.1,1,1,1,0.8,0,0,124,0.0794266933065256
0.3,1,1,1,0.8,0,0,24,0.07969956857453407
0.01,3,1,1,0.8,0,0,474,0.07864664849363419
0.05,3,1,1,0.8,0,0,95,0.07923542478630291
0.1,3,1,1,0.8,0,0,45,0.07965928379872315
0.3,3,1,1,0.8,0,0,16,0.08007103369379823
0.01,5,1,1,0.8,0,0,475,0.07952859413429385
0.05,5,1,1,0.8,0,0,102,0.0798649564691322
0.1,5,1,1,0.8,0,0,44,0.08022567202351959
0.3,5,1,1,0.8,0,0,15,0.08504044732023078
0.01,7,1,1,0.8,0,0,571,0.08214506060619428
0.05,7,1,1,0.8,0,0,123,0.08339430032139059
0.1,7,1,1,0.8,0,0,51,0.08266123214467479
0.3,7,1,1,0.8,0,0,13,0.08635720566526507
0.01,1,3,1,0.8,0,0,924,0.07962801133506364
0.05,1,3,1,0.8,0,0,188,0.07959032749980849
0.1,1,3,1,0.8,0,0,74,0.07970335865265675
0.3,1,3,1,0.8,0,0,49,0.07955179577496206
0.01,3,3,1,0.8,0,0,604,0.07649547488645567
0.05,3,3,1,0.8,0,0,112,0.07643305393939179
0.1,3,3,1,0.8,0,0,68,0.07627491709795292
0.3,3,3,1,0.8,0,0,12,0.07702802338349096
0.01,5,3,1,0.8,0,0,494,0.07864083513117906
0.05,5,3,1,0.8,0,0,140,0.07853611074247621
0.1,5,3,1,0.8,0,0,54,0.07948141297414935
0.3,5,3,1,0.8,0,0,11,0.08081248989154682
0.01,7,3,1,0.8,0,0,520,0.07850400743716959
0.05,7,3,1,0.8,0,0,100,0.07972206603928537
0.1,7,3,1,0.8,0,0,81,0.079775546118061
0.3,7,3,1,0.8,0,0,17,0.08244466067882616
0.01,1,5,1,0.8,0,0,908,0.07970613337482056
0.05,1,5,1,0.8,0,0,248,0.07955073032121407
0.1,1,5,1,0.8,0,0,112,0.07955629890064948
0.3,1,5,1,0.8,0,0,47,0.07951023560107576
0.01,3,5,1,0.8,0,0,656,0.0747620811431733
0.05,3,5,1,0.8,0,0,126,0.07558282735509636
0.1,3,5,1,0.8,0,0,70,0.07468861801608938
0.3,3,5,1,0.8,0,0,22,0.07701732309827652
0.01,5,5,1,0.8,0,0,527,0.07711366027863975
0.05,5,5,1,0.8,0,0,101,0.07704220937873626
0.1,5,5,1,0.8,0,0,43,0.07674037396724759
0.3,5,5,1,0.8,0,0,13,0.07914293475229098
0.01,7,5,1,0.8,0,0,519,0.07716284083516715
0.05,7,5,1,0.8,0,0,109,0.07811395518476968
0.1,7,5,1,0.8,0,0,69,0.07721920179904723
0.3,7,5,1,0.8,0,0,19,0.08134408489256588
0.01,1,7,1,0.8,0,0,698,0.07978094463012567
0.05,1,7,1,0.8,0,0,163,0.07967795027905074
0.1,1,7,1,0.8,0,0,88,0.07964319298536278
0.3,1,7,1,0.8,0,0,42,0.07958560786247909
0.01,3,7,1,0.8,0,0,546,0.07538421599737122
0.05,3,7,1,0.8,0,0,146,0.07542984028754109
0.1,3,7,1,0.8,0,0,57,0.07604648079514002
0.3,3,7,1,0.8,0,0,17,0.07791909850135122
0.01,5,7,1,0.8,0,0,537,0.07679372286831881
0.05,5,7,1,0.8,0,0,102,0.07700491343131599
0.1,5,7,1,0.8,0,0,56,0.07763836138705087
0.3,5,7,1,0.8,0,0,20,0.07871039776180833
0.01,7,7,1,0.8,0,0,509,0.07686768601297027
0.05,7,7,1,0.8,0,0,88,0.07730473197718905
0.1,7,7,1,0.8,0,0,46,0.077795488081164
0.3,7,7,1,0.8,0,0,14,0.08014309664488839
0.01,1,1,0.65,0.9,0,0,536,0.08009435745208676
0.05,1,1,0.65,0.9,0,0,99,0.08022859781262522
0.1,1,1,0.65,0.9,0,0,60,0.07989114940005286
0.3,1,1,0.65,0.9,0,0,17,0.0797831900993537
0.01,3,1,0.65,0.9,0,0,454,0.0794761244009877
0.05,3,1,0.65,0.9,0,0,99,0.07896446996828488
0.1,3,1,0.65,0.9,0,0,43,0.08005041364043952
0.3,3,1,0.65,0.9,0,0,13,0.08198791372169237
0.01,5,1,0.65,0.9,0,0,481,0.07943552658605532
0.05,5,1,0.65,0.9,0,0,96,0.07864023831606808
0.1,5,1,0.65,0.9,0,0,42,0.08020064265549662
0.3,5,1,0.65,0.9,0,0,18,0.08552342853400621
0.01,7,1,0.65,0.9,0,0,529,0.07887913164015843
0.05,7,1,0.65,0.9,0,0,93,0.0798333116404293
0.1,7,1,0.65,0.9,0,0,50,0.08004486855807398
0.3,7,1,0.65,0.9,0,0,14,0.08930807475458821
0.01,1,3,0.65,0.9,0,0,536,0.08001484581394643
0.05,1,3,0.65,0.9,0,0,118,0.07996685999911635
0.1,1,3,0.65,0.9,0,0,60,0.07977540207897593
0.3,1,3,0.65,0.9,0,0,24,0.07960143358857466
0.01,3,3,0.65,0.9,0,0,463,0.07812548880696113
0.05,3,3,0.65,0.9,0,0,94,0.07731616404885508
0.1,3,3,0.65,0.9,0,0,50,0.07877925363338245
0.3,3,3,0.65,0.9,0,0,16,0.08129561272095598
0.01,5,3,0.65,0.9,0,0,463,0.07767592497291338
0.05,5,3,0.65,0.9,0,0,101,0.07702699320119655
0.1,5,3,0.65,0.9,0,0,44,0.07844926557460752
0.3,5,3,0.65,0.9,0,0,13,0.08230381400409266
0.01,7,3,0.65,0.9,0,0,457,0.07825593264174019
0.05,7,3,0.65,0.9,0,0,94,0.0783585959220268
0.1,7,3,0.65,0.9,0,0,39,0.07968551255515256
0.3,7,3,0.65,0.9,0,0,11,0.084237363743434407
0.01,1,5,0.65,0.9,0,0,506,0.08008490629002851
0.05,1,5,0.65,0.9,0,0,99,0.08013339057013939
0.1,1,5,0.65,0.9,0,0,60,0.07991384529045432
0.3,1,5,0.65,0.9,0,0,17,0.07952767968485168
0.01,3,5,0.65,0.9,0,0,488,0.07759652055522542
0.05,3,5,0.65,0.9,0,0,109,0.07711738336153413
0.1,3,5,0.65,0.9,0,0,57,0.07726536355421296
