Metric,Training,Test
RMSE_0,0.00302,0.00726
RMSE,4e-4,0.00146
RMSE_Metrics,4e-4,0.00146
RMSE_caret,4e-4,0.00146
MSE_Metrics,0,0
MAE_Metrics,3e-4,8.4e-4
MAE_caret,3e-4,8.4e-4
MAPE_Metrics,3e-4,8.5e-4
RMSLE_Metrics,2e-4,7.3e-4
R2,0.98326,0.77804
R2_caret,0.98393,0.77882
R2_yardstick,0.98393,0.77882
RMSE_yardstick,4e-4,0.00146
Pearson_Cor,0.99193,0.88251
Pearson_P_Value,0,0
Spearman_Cor,0.98096,0.87704
Spearman_P_Value,0,0
SD_Error,4e-4,0.00146
