eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,5,3,0.8,0.8,0,0,871,0.001333857436608512
0.05,5,3,0.8,0.8,0,0,178,0.001346371463117379
0.1,5,3,0.8,0.8,0,0,102,0.0013423075855836671
0.3,5,3,0.8,0.8,0,0,24,0.00144194793548724
0.01,7,3,0.8,0.8,0,0,976,0.001325935388074338
0.05,7,3,0.8,0.8,0,0,172,0.001360095404404511
0.1,7,3,0.8,0.8,0,0,102,0.001380732280722038
0.3,7,3,0.8,0.8,0,0,25,0.001420735991438283
0.01,1,5,0.8,0.8,0,0,1079,0.001392231520961927
0.05,1,5,0.8,0.8,0,0,232,0.001393399066536103
0.1,1,5,0.8,0.8,0,0,138,0.001394706594055349
0.3,1,5,0.8,0.8,0,0,48,0.001446085646932482
0.01,3,5,0.8,0.8,0,0,931,0.001347908769337855
0.05,3,5,0.8,0.8,0,0,179,0.001367039579146083
0.1,3,5,0.8,0.8,0,0,104,0.001358012807931006
0.3,3,5,0.8,0.8,0,0,29,0.001409387244077213
0.01,5,5,0.8,0.8,0,0,889,0.00132626148022413
0.05,5,5,0.8,0.8,0,0,188,0.001332261955138908
0.1,5,5,0.8,0.8,0,0,95,0.001359640668056571
0.3,5,5,0.8,0.8,0,0,26,0.001398082247020385
0.01,7,5,0.8,0.8,0,0,933,0.001321494875042292
0.05,7,5,0.8,0.8,0,0,198,0.001342790470232172
0.1,7,5,0.8,0.8,0,0,90,0.001345299072019297
0.3,7,5,0.8,0.8,0,0,24,0.001411895923342189
0.01,1,7,0.8,0.8,0,0,994,0.001411288905034918
0.05,1,7,0.8,0.8,0,0,246,0.001408770659197263
0.1,1,7,0.8,0.8,0,0,105,0.001420482908860053
0.3,1,7,0.8,0.8,0,0,50,0.001459857891353263
0.01,3,7,0.8,0.8,0,0,894,0.001354425395795117
0.05,3,7,0.8,0.8,0,0,178,0.001370537219572485
0.1,3,7,0.8,0.8,0,0,96,0.001383522338048099
0.3,3,7,0.8,0.8,0,0,26,0.001424672213551014
0.01,5,7,0.8,0.8,0,0,941,0.001336136325185182
0.05,5,7,0.8,0.8,0,0,176,0.0013464306319290551
0.1,5,7,0.8,0.8,0,0,92,0.001369083220681576
0.3,5,7,0.8,0.8,0,0,25,0.001430530030235968
0.01,7,7,0.8,0.8,0,0,922,0.0013352614132800921
0.05,7,7,0.8,0.8,0,0,197,0.0013525817552572151
0.1,7,7,0.8,0.8,0,0,95,0.0013632464183789181
0.3,7,7,0.8,0.8,0,0,25,0.001441881728799121
0.01,1,1,1,0.8,0,0,1399,0.001373744126539949
0.05,1,1,1,0.8,0,0,293,0.001377157136036399
0.1,1,1,1,0.8,0,0,126,0.001384565536734604
0.3,1,1,1,0.8,0,0,85,0.001406007396507912
0.01,3,1,1,0.8,0,0,940,0.001339598439104946
0.05,3,1,1,0.8,0,0,194,0.001353675317878495
0.1,3,1,1,0.8,0,0,88,0.001343091084000692
0.3,3,1,1,0.8,0,0,33,0.0014008055420647592
0.01,5,1,1,0.8,0,0,1185,0.0013443395384718391
0.05,5,1,1,0.8,0,0,264,0.001355807076538051
0.1,5,1,1,0.8,0,0,135,0.001388064042393264
0.3,5,1,1,0.8,0,0,44,0.001436374340615301
0.01,7,1,1,0.8,0,0,1185,0.001338402587411697
0.05,7,1,1,0.8,0,0,264,0.001354643215767849
0.1,7,1,1,0.8,0,0,135,0.001402783216987005
0.3,7,1,1,0.8,0,0,44,0.001468653367990045
0.01,1,3,1,0.8,0,0,1586,0.001365457076694082
0.05,1,3,1,0.8,0,0,331,0.001367747038524463
0.1,1,3,1,0.8,0,0,146,0.001373559854664895
0.3,1,3,1,0.8,0,0,96,0.001407122130083516
0.01,3,3,1,0.8,0,0,909,0.001346693868717694
0.05,3,3,1,0.8,0,0,172,0.001350619326318249
0.1,3,3,1,0.8,0,0,86,0.001336382789967572
0.3,3,3,1,0.8,0,0,26,0.001376116335705301
0.01,5,3,1,0.8,0,0,1185,0.001346211588196504
0.05,5,3,1,0.8,0,0,264,0.001338661265629677
0.1,5,3,1,0.8,0,0,135,0.001339523688465451
0.3,5,3,1,0.8,0,0,43,0.001444920204039422
0.01,7,3,1,0.8,0,0,1185,0.001336421991520949
0.05,7,3,1,0.8,0,0,264,0.001351211280383686
0.1,7,3,1,0.8,0,0,135,0.001349575740327385
0.3,7,3,1,0.8,0,0,44,0.001411430480280806
0.01,1,5,1,0.8,0,0,1639,0.001364161189173589
0.05,1,5,1,0.8,0,0,334,0.001366723072778276
0.1,1,5,1,0.8,0,0,164,0.001373406533931442
0.3,1,5,1,0.8,0,0,104,0.0014159002610741919
0.01,3,5,1,0.8,0,0,974,0.001353964688752812
0.05,3,5,1,0.8,0,0,180,0.001355199060644842
0.1,3,5,1,0.8,0,0,94,0.001352016977939448
0.3,3,5,1,0.8,0,0,25,0.001422302103695176
0.01,5,5,1,0.8,0,0,956,0.00132083686230461
0.05,5,5,1,0.8,0,0,217,0.001323527731891593
0.1,5,5,1,0.8,0,0,107,0.001317238821409779
