"Area_code","Area_name","Total_Population","Total_houses","P_female","Mean_age","P_age_00_14","P_age_15_39","P_age_65_more","P_migrants","P_afrodescendants","P_disability","P_indigenous_language","P_university_studies","P_read_write","P_electricity","P_car","P_cell_phone","P_internet","Mean_occupants","P_working","Current_income","P_poverty","P_extreme_poverty","P_vulnerable_income","P_educational_lag","P_lack_quality_living_spaces","longitude","latitude","bias"
29037," Ziltlaltépec de Trinidad Sánchez Santos",-0.2845858925369,-0.284683926954912,0.386407853173492,-0.606854794645004,0.517502936408917,0.572221138721915,-0.26202039687357,-0.564042883293351,-0.331061514270465,-0.0981913504279117,-0.645955487137425,-0.415559251290565,0.0436194064776601,0.179540727830285,-0.381276440050927,0.181068090661953,-0.263621306171151,1.02386150626274,-0.121989751347681,0.0215282875507692,0.762303618452778,-0.00879231844825946,-0.307759143679526,-0.0251704146239327,0.468253666063596,0.17771483783146,-0.2546136687655,0.998153579
29038," Tzompantepec",-0.224724972981185,-0.217403163981471,0.189524926835929,-0.419033898900474,-0.438756142767837,1.14675143566562,-0.965655724471657,-0.512138491524605,-0.215368724922641,-0.41459865717288,-0.651737086307404,1.17286258391446,1.07549848400168,0.34032862829377,0.45127873686885,0.885718482025823,0.550260147018829,-0.221361791312979,1.19662281310307,-0.0227005583259653,-0.671854288341607,-0.69439798412805,1.11444088684884,-1.58041967587844,-1.00330503086368,0.139787087503703,-0.205345301300886,0.994335222
29039," Xaloztoc",-0.173014227493859,-0.195749313077251,-0.625811959403428,-0.771981238035897,0.176859735967764,1.23125893659278,-0.960197775201628,-0.617911656354361,0.291059332714006,-0.401614304733938,-0.670526139169105,0.0405400826129054,0.955957492635905,0.41849285935404,0.239362245301808,0.649088730195456,0.329041163133334,1.35963612940698,0.877828584995737,-0.104990347729659,0.1731113573812,-0.459333184466407,1.94629373489373,-1.23926822502262,-0.816311384292807,0.152550453661044,-0.19431337606389,0.99656344
29040," Xaltocan",-0.275102301008241,-0.267502838696482,0.985991700581815,0.15675809957547,-0.519138021509195,0.358430520721737,-0.0744065568448126,-0.466071637527321,-0.176611597598056,-0.0590399852575183,-0.684383965974028,-0.0611039597548095,0.856448051572982,0.27111531194263,0.0925080768110909,0.393879397324121,-0.352350607345077,-0.162355633184782,0.296665798576961,-0.274322350697867,-0.279059447627221,-0.746634606275081,-0.0394195152779475,-1.29947142223247,-0.889482811211843,0.103676143198397,-0.191729745029672,0.997547401
29041," Papalotla de Xicohténcatl",-0.119323765267049,-0.139993605175236,0.326403336742098,-0.464017398802342,-0.154282788077389,0.942630011259876,-0.833549750939368,-0.326113114406057,-0.262077872459792,-1.03730194699573,-0.556924934905752,0.660424576457611,0.960167724711385,0.502047683650549,0.0902487778737785,0.611025334839922,0.971007435534273,0.801145250270269,0.715683406358181,0.134336266844398,0.118302774955936,-0.335271206867207,1.651120143652,-1.30950528843411,-0.775660591560009,0.115162738281679,-0.268505670681953,0.995044628
29042," Xicohtzinco",-0.250638172502462,-0.251599682622562,0.764521977609277,0.12229040095234,-0.735207165423678,0.52275304237913,-0.41080365545457,-0.264558675410506,0.493185391998145,-0.648147029907232,-0.647789672811903,1.45326335475876,1.12763092143587,0.528605046348428,0.445564195317064,0.588824526988015,1.30702311338739,0.572873952744955,0.244845641712523,0.385801091641531,-0.493726395459502,-0.687868406359671,3.15382206270083,-1.66069060549158,-0.669968530454736,0.10492443769293,-0.269158936984193,0.993871945
29043," Yauhquemehcan",-0.0598438221285545,-0.052478915947031,0.353073452808418,-0.255044128405158,-0.691473556502141,1.28348367602208,-0.926345532808122,-0.494076728214855,-0.261353774892316,-0.277791404618116,-0.660642059515072,2.01636192058644,1.15987196468971,0.511101081754231,0.686296157922209,0.970431069477811,1.05556388099208,-0.327445791458532,1.10921509651082,0.595131202677092,-0.594208796572484,-0.720516295201565,1.57061825513152,-1.68075833789486,-1.00330503086368,0.1181928945605,-0.19978053909899,0.993205814
29044," Zacatelco",-0.0362028748099833,-0.0686423915400174,0.530526730210759,-0.27435290736816,-0.460850639131407,1.04265676693111,-0.667313426802891,-0.272180685182284,-0.11285948692801,-0.837529076917972,-0.656074803814091,0.95408981050841,1.04049526287575,0.536904925316072,0.202848398352387,0.644754399896507,1.03932930630314,0.805594190598052,0.623867571630758,0.431573759783059,-0.196846573989326,-0.69439798412805,2.77814658293862,-1.54028421107188,-0.775660591560009,0.100355707248015,-0.262526497375707,0.994334711
29045," Benito Juárez",-0.304968130858177,-0.301107722066966,0.715339299777415,-0.793343334623392,0.424458186456686,0.78531103774188,-1.03985150796497,-0.6017219289197,-0.283573687723077,0.0416543762307978,-0.686011236960084,-0.665533127655667,0.754638303225884,0.494431222256463,-0.165283861471727,0.58379028202234,0.400623965870818,0.825808377277192,0.729117848630125,-0.61628636905915,0.853651255828217,-0.831519117264008,0.228920113123631,-0.777710379747084,-0.580536786442581,0.0633539315825526,-0.143675789458718,0.995974883
29046," Emiliano Zapata",-0.31354010024563,-0.308231010725076,-0.136559637075109,-1.06523077409727,0.693054723605598,1.15482728678539,-1.02211281360636,-0.559429498377579,-0.340953765836518,-1.41207245377622,-0.692137503958215,-0.986032117417464,0.26991216519186,0.282456424809664,-0.209193717645605,0.329460518326951,-0.276296517621711,0.803288565758901,1.11693405038112,-0.914889479898308,0.990672711891375,-0.811930383958871,-0.119921403798421,-0.607134654319169,-0.458584408244189,0.175454430628305,-0.149364639984363,0.998990103
