Metric,Training,Test
RMSE_0,0.00396,0.00707
RMSE,5.3e-4,0.00145
RMSE_Metrics,5.3e-4,0.00145
RMSE_caret,5.3e-4,0.00145
MSE_Metrics,0,0
MAE_Metrics,3.9e-4,8.3e-4
MAE_caret,3.9e-4,8.3e-4
MAPE_Metrics,3.9e-4,8.3e-4
RMSLE_Metrics,2.7e-4,7.3e-4
R2,0.97026,0.78235
R2_caret,0.97124,0.78266
R2_yardstick,0.97124,0.78266
RMSE_yardstick,5.3e-4,0.00145
Pearson_Cor,0.98552,0.88468
Pearson_P_Value,0,0
Spearman_Cor,0.96898,0.87248
Spearman_P_Value,0,0
SD_Error,5.3e-4,0.00145
