Metric,Training,Test
RMSE_0,0.00311,0.00739
RMSE,4e-4,0.00146
RMSE_Metrics,4e-4,0.00146
RMSE_caret,4e-4,0.00146
MSE_Metrics,0,0
MAE_Metrics,3e-4,8.5e-4
MAE_caret,3e-4,8.5e-4
MAPE_Metrics,3.1e-4,8.5e-4
RMSLE_Metrics,2e-4,7.3e-4
R2,0.9828,0.77772
R2_caret,0.98355,0.77815
R2_yardstick,0.98355,0.77815
RMSE_yardstick,4e-4,0.00146
Pearson_Cor,0.99174,0.88213
Pearson_P_Value,0,0
Spearman_Cor,0.98086,0.8776
Spearman_P_Value,0,0
SD_Error,4e-4,0.00146
