Metric,Train,Test
RMSE,6.905557192231873e-4,0.0013884412825229538
Pearson,0.9745608591668283,0.9053281338718158
Spearman,0.9495964619066519,0.9036945620253298
SD_Error,6.891872197894636e-4,0.001370929432036931
R2,0.947125224433644,0.8143484959458088
