Metric,Train,Test
RMSE,8.441774498989835e-4,0.0018905533991609921
Pearson,0.962041598148011,0.7594584252670106
Spearman,0.9209077174756932,0.82034241495952
SD_Error,8.44368842591778e-4,0.0018840002449403489
R2,0.9246615014310361,0.5509331334314083
