fold_id,eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
1,0.01,5,7,0.8,0.9,0,1,1077,0.075796245
2,0.05,5,3,0.65,0.9,0.5,1,151,0.07642781
3,0.1,5,7,0.8,0.8,0.5,1,75,0.078457475
4,0.01,5,7,0.65,0.8,0,1,721,0.076329547
5,0.01,5,7,0.8,0.8,0,1,791,0.070639497
Promedio,0.036,5,6.2,0.74,0.84,0.2,1,563,0.07553
Desv_Estandar,0.039749,0,1.788854,0.082158,0.054772,0.273861,0,432.733174,0.002916
Reporte ,0.036 ± 0.0397,5 ± 0,6.2 ± 1.7889,0.74 ± 0.0822,0.84 ± 0.0548,0.2 ± 0.2739,1 ± 0,563 ± 432.7332,0.0755 ± 0.0029
