Metric,Train,Test
RMSE,0.05262971047810915,0.0779849188774002
Pearson,0.8319723764835253,0.4136309728248928
Spearman,0.759810329953009,0.6033563351515143
SD_Error,0.05263486032442386,0.07803730330679742
R2,0.6461543772245695,0.1527448619167273
SD_RMSE,0.0045131159602745255,0.011685873695563629
