Metric,Training,Test
RMSE_0,0.00466,0.00707
RMSE,6.4e-4,0.00147
RMSE_Metrics,6.4e-4,0.00147
RMSE_caret,6.4e-4,0.00147
MSE_Metrics,0,0
MAE_Metrics,4.6e-4,8.6e-4
MAE_caret,4.6e-4,8.6e-4
MAPE_Metrics,4.6e-4,8.6e-4
RMSLE_Metrics,3.2e-4,7.4e-4
R2,0.95743,0.77514
R2_caret,0.95827,0.77558
R2_yardstick,0.95827,0.77558
RMSE_yardstick,6.4e-4,0.00147
Pearson_Cor,0.97891,0.88067
Pearson_P_Value,0,0
Spearman_Cor,0.95838,0.87111
Spearman_P_Value,0,0
SD_Error,6.4e-4,0.00147
