Metric,Train,Test
RMSE,0.05905122573993039,0.0803555326985517
Pearson,0.7793249803773251,0.34562885926302417
Spearman,0.7339846892533792,0.5642929774501612
SD_Error,0.05906226936570267,0.08040499665476088
R2,0.5547300702617205,0.10739660465971881
SD_RMSE,0.0065712788437271375,0.01409783512859253
