"Area_code","Area_name","Total_Population","Total_houses","P_female","Mean_age","P_age_00_14","P_age_15_39","P_age_65_more","P_migrants","P_afrodescendants","P_disability","P_indigenous_language","P_university_studies","P_read_write","P_electricity","P_car","P_cell_phone","P_internet","Mean_occupants","P_working","Current_income","P_poverty","P_extreme_poverty","P_vulnerable_income","P_educational_lag","P_lack_quality_living_spaces","longitude","latitude","bias_w","bias"
17019," Tepalcingo",-0.179385220888414,-0.175737786454013,-0.173485111474026,0.276138734682621,-0.539196420499007,0.0648054989104518,-0.0616762611405717,0.271183337958301,-0.206658882699154,0.685364805827047,-0.639102066596361,0.163560191731204,0.0473042826345622,0.34784236397451,-0.189493505841751,0.606631383227836,0.136893155367158,-0.0708262554953748,0.29313909389657,-0.405538814760861,0.336730027308573,-0.154495281827936,-0.33427765744958,-0.415908746016698,-0.531692100126419,0.0197160530668116,-0.529546532641497,0.230582792990521,0.936597682
17020," Tepoztlán",-0.00339169142347065,0.00228251388462442,0.0991298175804493,0.153996781656387,-0.898981534764802,0.851058653368472,-0.47359944710433,0.497556056753505,-0.126185528091163,0.160161921883144,-0.339605477088422,1.10223456509246,0.906010122558652,0.412624464028193,0.393571211056267,0.781647656422619,1.83956187837825,-0.283348972666834,0.914993546694671,0.441999056593561,-0.701597676309843,-0.48609394541301,-0.0570499182833149,-1.34577828906976,-0.622297460648204,-0.02849529433533,-0.414226121246212,-2.45129482960345,0.837179697
17021," Tetecala",-0.313714173863611,-0.299070469827336,0.32365830956797,0.607828346721511,-0.944694035626212,0.153014250923761,0.263516016275711,-0.239503919170149,-0.313306678726099,-0.477062548949291,-0.649683720953675,0.454598656384342,0.503598872811157,0.523633310652657,-0.0311858938276263,0.460320836189271,0.521824766691341,-1.02410608914733,-0.0788926072926035,-0.0733041530426068,-0.0932382728682158,-0.519253811771517,0.331068916549456,-0.521575739545454,-0.474034143430738,-0.0945639615252604,-0.498535617674639,-0.713965771238248,0.939740055
17022," Tetela del Volcán",-0.266310891555466,-0.266815283881211,-0.144739340996281,-0.866813948576404,0.410041127712482,1.04082295214632,-0.897324530069096,-0.364307386190449,-0.258335795131628,-0.665502728847475,-0.447541204339926,-0.327174180079406,0.802454751167645,0.400873730721411,0.12939860414735,0.483449568806527,0.13395367067164,0.620181967845432,1.4366174613085,-0.712110400197652,0.849032682838364,0.210263248115646,-0.0016043704500619,-0.901976916248979,-0.474034143430738,0.0579573124792405,-0.431587812903391,-0.00883806130519227,0.924055746
17023," Tlalnepantla",-0.31157853676681,-0.306768768456121,-0.784320959773159,-0.573693535924805,0.245960382705422,0.802164533118229,-0.727779019049875,-0.644943282005583,-0.291708766034183,-0.582536311184801,-0.577806242505632,-0.306939885584749,0.743955055833308,0.551912601457468,0.849113945049158,0.559186344931538,-0.151016062190534,0.563425453308149,1.70024507025398,-0.803720513386943,0.400767859249797,-0.0815435758392192,-0.666950944449099,-0.574409236309833,-0.276349720474117,-0.00360403299340945,-0.397128038656059,-1.56961621620057,0.792647614
17024," Tlaltizapán de Zapata",-0.0203457675170971,-0.00733464849732945,0.168491023790882,0.297733230247319,-0.747419970179626,0.344728225745306,-0.0847557674175399,0.0433623928344249,-0.240425424831663,-0.00436055480621087,-0.606262881629474,0.325143585436157,0.474415936150812,0.353084597947654,0.0320356754422676,0.653338760274493,1.21790093621516,-0.4686059037844,0.243166766686966,0.142514991955211,-0.070367618603493,-0.512621838499816,1.68948483846416,-1.01821060913061,-0.482270994387264,-0.027876910821157,-0.493452028060799,-0.425673476198999,0.842496994
17025," Tlaquiltenango",-0.142260510987881,-0.122580691768012,0.167599152959387,0.589688778033922,-1.05181004857037,0.264006277162585,0.168489608277003,-0.133711834849924,-0.237708904830757,0.0577071388466526,-0.613995670094837,0.669432617516433,0.463956476392022,0.457212581665033,0.0528690928598403,0.328467833010699,1.05705286640311,-0.683678793938885,0.0894189076595103,-0.19516906318628,-0.120683057985883,-0.466198025597905,1.13502936013163,-0.595542635015584,-0.193981210908858,-0.0195551837255033,-0.552276563701666,-0.250033788321508,0.931249815
17026," Tlayacapan",-0.236470931506598,-0.237438393564839,-0.44159433395718,0.0342869676229688,-0.543663981840731,0.592195414375545,-0.32264431335347,-0.341504990412744,-0.16769739902561,-0.202714477534403,-0.297616180383502,0.591652693867004,0.763749536862313,0.358173937632673,0.237022756750397,0.920114634890957,0.739019452236626,0.410567882917345,1.08853740265462,0.00897084034017655,-0.541503096456783,-0.492725918684711,-0.33427765744958,-0.975943811719109,-0.391665633865479,0.000134991051388222,-0.42130599798254,-0.886882933300073,0.816673537
17027," Totolapan",-0.280087716140047,-0.271566756031915,0.215645624276172,-0.315584350202502,-0.028467733594601,0.703185788809384,-0.53744988919365,-0.42183728149365,-0.235801229787901,0.857197635566417,-0.520401453365323,-0.24350581072796,0.755069374916111,0.274726553417927,-0.00264083344102543,0.754841738792174,-0.0833124038248599,-0.209687023492799,1.29141225133609,-0.536500755490963,0.57458483166169,0.236791141202452,-0.611505396615845,-0.859710118837476,-0.325770826213272,0.0123886018096481,-0.407676277288881,-1.28220102156932,0.890352941
17028," Xochitepec",0.118143092073035,0.0954616239938639,-0.832713936378894,-0.0683988221000749,-0.65636126834961,0.905080597051316,-0.619512855563358,-0.212861546522997,0.093088658743549,-0.356407698554089,-0.566340529501753,0.696253828809282,0.667465903660128,0.49455131310656,0.121146533143669,0.833983348211971,1.29024746683801,-0.086060106962487,0.527142163656877,0.509490456009999,0.0256891293083428,-0.519253811771517,1.05186103838175,-0.975943811719109,-0.605823758735152,-0.0560050034293302,-0.477806307064839,-0.828463460366222,0.945879057
17029," Yautepec",0.329354980533085,0.343954480029242,0.443394152894296,0.202894068306247,-0.718244068224241,0.499330898152347,-0.20372320715693,-0.151267095250439,0.0878761923356153,-0.00884612885421747,-0.593977842698583,0.721970167720971,0.735225011969787,0.513387020815846,0.123005897536317,0.827291020129452,1.14236138172433,-0.419681307354127,0.482747056765056,0.552847514175818,-0.244184591015387,-0.505989865228114,1.05186103838175,-1.11331090330649,-0.523455249169894,-0.0164138134215637,-0.445186611823206,-1.31328095211441,0.936216676
